step,time_s,altitude_m,position_x_m,position_y_m,velocity_z_m_s,speed_m_s,fuel_mass_kg,throttle
76,1.520000000000001,93.53103271112568,0.0,0.0,1.5199655116363662,1.5199655116363662,796.2283605352346,0.790746919799102
77,1.540000000000001,93.56305504796222,0.0,0.0,1.6011168418274067,1.6011168418274067,796.1888231892447,0.7927493223383952
78,1.560000000000001,93.59671456482182,0.0,0.0,1.6829758429800292,1.6829758429800292,796.1491857231277,0.7947692243050254
79,1.580000000000001,93.63202553869625,0.0,0.0,1.7655486937213294,1.7655486937213294,796.1094472619125,0.7968067784851763
80,1.600000000000001,93.66900237123338,0.0,0.0,1.8488416268557655,1.8488416268557655,796.0696069229882,0.7988621390047439
81,1.620000000000001,93.70765958983024,0.0,0.0,1.9328609298435118,1.9328609298435118,796.029663816038,0.8009354613411654
82,1.640000000000001,93.7480118487359,0.0,0.0,2.0176129452830858,2.0176129452830858,795.989617042971,0.803026902335355
83,1.660000000000001,93.79007393016387,0.0,0.0,2.1031040713982905,2.1031040713982905,795.9494656978542,0.8051366202037427
84,1.680000000000001,93.83386074541446,0.0,0.0,2.189340762529507,2.189340762529507,795.909208866844,0.8072647745504259
85,1.700000000000001,93.87938733600704,0.0,0.0,2.276329529629384,2.276329529629384,795.8688456281164,0.8094115263794253
86,1.720000000000001,93.9266688748223,0.0,0.0,2.3640769407629563,2.3640769407629563,795.8283750517975,0.811577038107053
87,1.740000000000001,93.97572066725455,0.0,0.0,2.452589621612239,2.452589621612239,795.7877961998921,0.8137614735743892
88,1.7600000000000011,94.02655815237425,0.0,0.0,2.5418742559853373,2.5418742559853373,795.7471081262134,0.8159649980598732
89,1.7800000000000011,94.07919690410085,0.0,0.0,2.631937586330108,2.631937586330108,795.7063098763105,0.818187778292004
90,1.8000000000000012,94.1336526323859,0.0,0.0,2.7227864142524236,2.7227864142524236,795.6654004873958,0.8204299824621575
